Sample_ID,CentroidX,CentroidY,Mass,Width,Depth,Orientation0,Orientation1,Orientation2,Orientation3,Orientation4,Orientation5,Orientation6,Orientation7,Orientation8,Orientation9,Leaf weight,LeafArea,Leaf Hue,Class
13,150.9691,259.2202,0.47978044,224.7603887,693.3754085,0.237072552,0.184011298,0.140770353,0.092424561,0.065459201,0.043704437,0.04922882,0.053864876,0.059468772,0.074081494,0.02,,61.18490237,A
14,174.261,245.6945,0.342988467,171.5814811,486.8796276,0.262737572,0.182577077,0.121126346,0.078382396,0.064996241,0.051264768,0.050361892,0.052074972,0.062637595,0.073720098,,,60.14893922,A
15,158.4987,236.7325,0.39171502,258.5801335,639.7733727,0.282014669,0.201887511,0.127737249,0.079167868,0.062396522,0.044612295,0.044136172,0.046295457,0.052271825,0.059441656,,,,A
16,132.7188,279.4212,0.315072737,205.2524696,707.5340513,0.249122498,0.173092074,0.120651614,0.076658466,0.064409656,0.050361103,0.053251364,0.059621987,0.070084357,0.082699368,,8677.926882,,A
17,169.4943,248.1277,0.316090565,220.1758154,695.958336,0.268763769,0.193738775,0.113666207,0.077900673,0.06129891,0.049159278,0.050375475,0.054729217,0.06043532,0.069925616,,8177.976484,,A
18,159.3027,271.6766,0.314991932,145.6584129,689.3153308,0.150313925,0.14935135,0.125085644,0.08976528,0.074161587,0.060520291,0.064572954,0.073276362,0.091328989,0.121208016,,6638.352516,,A
19,149.8803,255.4721,0.478643155,227.4097963,693.2308069,0.237034955,0.183936383,0.140514086,0.09241472,0.065506403,0.043582244,0.049123555,0.053904841,0.059770788,0.074059457,,10257.10664,61.15288686,A
20,174.678,243.6311,0.349292798,167.0820422,489.6802007,0.262358993,0.182654352,0.121288892,0.078585378,0.064764139,0.051179705,0.050271396,0.052012673,0.062385224,0.073765073,,6951.095383,59.77834743,A
21,158.9423,235.0898,0.389078016,263.2983494,629.9619179,0.28194121,0.201939531,0.127897718,0.079307683,0.062518673,0.044636482,0.044120114,0.046221268,0.052146869,0.059412954,,10107.45701,64.97682427,A
22,131.7145,275.841,0.306317404,204.2761539,708.3631344,0.24915027,0.172740491,0.120633301,0.076728386,0.064443439,0.050195587,0.053141932,0.059580417,0.070164911,0.082868327,,8704.858216,57.89995781,A
23,169.2882,248.8584,0.322014947,221.8647636,693.6288026,0.268712174,0.193449595,0.113726571,0.077943781,0.061071782,0.049374877,0.050465626,0.054639868,0.060562367,0.069909428,,8181.055003,55.36807374,A
24,158.8802,274.4685,0.313175052,138.4759639,688.2945178,0.150085676,0.149449153,0.125176133,0.089779685,0.07425836,0.060438727,0.064766783,0.073263091,0.091174619,0.121366286,,6660.386735,65.41437173,A
25,150.6922,255.381,0.483413743,223.9829912,694.1903713,0.237233987,0.183991511,0.140601413,0.09250186,0.065154755,0.043499154,0.049227399,0.053854792,0.059679506,0.07430213,,10235.86342,60.92018467,A
26,173.2467,245.7259,0.346829509,171.4041245,493.4560762,0.262635753,0.182505598,0.121165303,0.078316788,0.065191791,0.051477085,0.050347619,0.052124423,0.062422376,0.073744677,,6971.554163,59.59262179,A
27,156.8202,236.78,0.388640449,266.2279408,636.7653881,0.281960319,0.201971135,0.127606021,0.079207289,0.062503462,0.04492773,0.044077564,0.046416455,0.052172236,0.059345023,,10127.28865,65.43099197,A
28,132.4465,281.1018,0.308267248,203.718037,709.0548915,0.249260503,0.17313832,0.120660912,0.076499862,0.064481028,0.050456212,0.053010746,0.059543939,0.069930983,0.082720795,,8697.370292,57.67572334,A
29,169.293,245.8422,0.323048723,219.0300897,693.4240124,0.268840845,0.193716199,0.113753583,0.077864062,0.061239847,0.049407014,0.050464986,0.054601885,0.060221153,0.070013496,,8165.369719,55.75193316,A
30,158.7481,271.6271,0.313189403,138.5005265,689.5749995,0.150115643,0.149560985,0.12500122,0.089759036,0.074484881,0.060341795,0.064643857,0.073386298,0.091351012,0.121475939,,6682.718006,65.58109626,A
31,151.0238,253.88,0.480524696,224.5268363,689.4794984,0.237140622,0.183986235,0.140715471,0.092409711,0.065437586,0.043665141,0.049230265,0.053912135,0.059566435,0.074137767,,10270.74501,60.93295818,A
32,175.2136,244.792,0.345948259,167.7618546,489.7235086,0.262589655,0.182652385,0.121167812,0.078434569,0.064922895,0.051424747,0.0503407,0.05215243,0.062524068,0.073714464,,6996.223527,59.30867309,A
33,158.1575,236.25,0.389227549,259.5461592,637.7723435,0.281954507,0.20187773,0.12771487,0.079260908,0.062404679,0.04466919,0.044040118,0.046341404,0.052319233,0.059420457,,10110.5351,64.97357968,A
34,134.7399,275.8881,0.313463399,201.8595505,705.5930123,0.249086253,0.173181214,0.120570026,0.076684677,0.064383892,0.05050261,0.053192342,0.059626431,0.070041985,0.082873403,,8640.206085,57.65889068,A
35,168.28,245.9639,0.318990619,218.6957519,703.6467969,0.268843423,0.193661915,0.113692858,0.077727743,0.061149028,0.049304914,0.05049795,0.054707036,0.060466609,0.069889539,,8168.357456,55.81706172,A
36,158.9092,270.9223,0.31569449,145.2834911,686.9619711,0.150243097,0.149439582,0.125056551,0.089759928,0.074243784,0.060411357,0.064615838,0.073218606,0.091319753,0.12135536,,6668.646122,65.47642244,A
37,150.1849698,255.6256565,0.479547624,225.9690295,698.2471481,0.237016731,0.183808764,0.140449253,0.092409743,0.065326169,0.043423483,0.048975085,0.0540035,0.059565864,0.074285698,,10286.64801,61.143683,A
38,174.124655,247.3268301,0.319178941,171.0641254,494.2447413,,0.182658255,,0.078470935,0.065060823,0.051473051,0.050414262,0.052249234,0.062566534,0.073695867,,6962.814527,59.39364803,A
39,157.9638487,237.6074772,0.391077341,260.3303757,636.4517646,0.281859774,0.201949776,0.127744055,0.079446312,0.062546273,0.044735427,0.043939805,0.046208312,0.052317605,0.059289973,,10096.34387,65.12394249,A
40,134.1110547,278.8182795,0.30828073,206.0317908,708.8390646,0.249236986,0.17326732,0.120693802,0.076732285,0.064481998,0.050444159,0.053252517,0.059537325,0.070221845,0.08291209,,8711.248239,57.83028565,A
41,170.0728379,248.7986241,0.319178941,216.3595586,700.1978545,0.268692137,0.193686195,0.113697144,0.077767299,0.061332708,0.049278966,0.050361582,0.054794051,0.060434842,0.070003114,,8177.529161,55.63221001,A
42,157.9882945,271.4039721,0.311496674,142.537683,690.788256,0.150358046,0.149304358,0.124988,0.089671361,0.074323885,0.060384508,0.064650938,0.073264486,0.091342461,0.121456567,,6638.498808,65.56549057,A
43,152.7884359,257.2782286,0.480820301,224.6637449,688.2945178,0.237242046,0.183784935,0.140622575,0.092578301,0.065375984,0.04352279,0.049313522,0.053663268,0.059591244,0.074167147,,10270.8712,60.83874819,A
44,174.5226477,246.1232783,0.346803098,164.7989761,490.1500423,0.262532964,0.182519812,0.121183698,0.078415996,0.065022976,0.051195457,0.050462789,0.051976523,0.062630867,0.073841258,0.03,7005.71461,59.59680536,A
45,158.2659699,237.1313425,0.388183184,263.4738561,635.264448,0.28175907,0.201781406,0.127585325,0.079101307,0.062574988,0.044715671,0.044089334,0.046466867,0.052383905,0.059449452,0.04,10116.48186,65.04086111,A
46,132.9108863,279.1959627,0.313460675,204.9896559,705.4922552,0.249103812,0.172999402,0.120768101,0.076684365,0.064343904,0.050469237,0.053268493,0.05960877,0.070025999,0.082767847,0.04,8738.324715,57.59564688,A
47,170.4918368,246.3678342,0.318411957,222.734155,698.8391366,0.268710163,0.193554878,0.113694855,0.077649824,0.061139158,0.049373025,0.05031439,0.054426779,0.060449944,0.070075617,0.02,8135.464719,55.32068534,A
48,158.3965279,269.8901199,0.311403035,142.4289937,690.8970278,0.150344039,0.149326575,0.125238341,0.089742006,0.074354149,0.0603883,0.06464994,0.073287274,0.091451505,0.121204213,0.04,6724.157864,65.49313532,A
49,149.0621484,255.5984871,0.481075277,227.6978481,693.1889165,0.237158511,0.184021037,0.140674865,0.092373102,0.06535223,0.043378082,0.049060688,0.053771646,0.059917757,0.074097631,0.01,10305.89697,61.5042456,A
50,174.4973547,244.0351952,0.347401368,170.5647999,489.3791772,0.262584161,0.182706749,0.121236003,0.078333555,0.065044763,0.051211977,0.05035955,0.052209346,0.062431133,0.07399679,0.04,6962.96501,59.50265456,A
51,158.6689452,234.8831083,0.390370281,263.496713,632.3212366,0.281933506,0.20173697,0.127487899,0.079229094,0.06230474,0.044733481,0.0439463,0.046149511,0.052292041,0.059459377,0.03,10096.15224,64.94662253,A
52,132.6258957,280.4240819,0.311160481,196.8212596,708.3203037,0.249115036,0.173185306,0.12052766,0.076562077,0.064352932,0.050450921,0.053115493,0.059651461,0.06984455,0.082765809,0.04,8699.198382,57.89346878,A
53,170.6750855,248.2217074,0.321332007,221.9488914,699.1058158,0.268791883,0.193579984,0.113780832,0.077742783,0.061188321,0.049391657,0.050168923,0.054669128,0.06039797,0.070174223,0.03,8213.352937,55.80115054,A
54,158.8183519,272.7128712,0.314772003,143.8404555,688.3340153,0.150460139,0.149505044,0.124956815,0.089618524,0.07429311,0.060393533,0.064744534,0.072977644,0.091426865,0.121359878,0.01,6675.813356,65.58960841,A
55,149.3120492,254.3388824,0.478379936,227.5102535,693.2314804,0.236895153,0.184144356,0.140702027,0.092551294,0.065301866,0.043583999,0.049138019,0.054060239,0.059773005,0.074323965,0.01,10195.07669,61.05478022,A
56,171.5150516,245.9692346,0.345031328,172.8039682,490.9001852,0.262518309,0.182424409,0.120968883,0.078295874,0.064915331,0.051286501,0.050304696,0.051993428,0.062529935,0.073592381,0.01,6997.857635,59.55286619,A
57,157.908828,238.0708597,0.388864676,266.7072446,637.4155997,0.281934214,0.20180285,0.127573738,0.07900383,0.062655405,0.044530455,0.044091393,0.046464413,0.052329124,0.059562141,0.05,10125.11373,65.02064976,A
58,133.6834672,279.1764948,0.30962817,204.7368891,712.8121278,0.248912778,0.173366579,0.120728834,0.076739942,0.064447749,0.050499292,0.053263549,0.059823224,0.070045114,0.082852989,0.04,8654.399537,57.85317238,A
59,168.6063485,247.503876,0.324214704,222.7679325,695.5962329,0.237158511,0.19369186,0.113634272,0.077656847,0.061314183,0.049379787,0.05033917,0.054789075,0.060419166,0.069873177,0.01,8181.62306,55.70407796,A
60,159.9409064,271.5967635,0.311907653,143.4290555,686.6234703,0.281701722,0.149655065,0.125144153,0.089969187,0.07421042,0.060577579,0.064669159,0.073379106,0.091246045,0.121412043,0.05,6699.827065,66.08098185,A
61,150.7811474,254.1187768,0.480266909,228.1313077,691.350273,0.23738811,0.183955347,0.140526979,0.092309289,0.065358003,0.043450531,0.049220696,0.053850682,0.059630759,0.074480658,0.05,10226.08429,61.16648106,A
62,174.1636948,243.4937344,0.343398526,171.9789857,491.659597,0.262802262,0.182536584,0.121254415,0.078504912,0.064927102,0.051470478,0.050287431,0.052116664,0.062602183,0.073875766,0.04,6946.130181,59.52316104,A
63,157.3114148,236.4436396,0.388569249,262.9235939,636.3688984,0.281701722,0.201690788,0.127853579,0.079324878,0.062417071,0.044588307,0.044299968,0.046339241,0.052098604,0.059515934,0.04,10112.62368,64.91087399,A
64,134.4395199,278.8943993,0.309689569,200.7945589,703.1786124,0.249191401,0.173080115,0.120555121,0.076687914,0.064491696,0.050441333,0.053390142,0.059465242,0.070218576,0.082891596,0.01,8662.917847,57.62355983,A
65,170.2044286,247.0836167,0.320179978,217.5252416,703.8796624,0.268773998,0.193643766,0.113817144,0.077827355,0.061456343,0.049443329,0.050238482,0.054836143,0.060426367,0.069857976,0.02,8136.37048,55.56265504,A
66,161.4792822,273.5316498,0.313988196,141.7712334,683.3813669,0.150101923,0.149498313,0.125017736,0.089734553,0.074405447,0.060520079,0.064708891,0.07353907,0.091345289,0.12140147,0.02,6632.960425,65.50474335,A
67,150.8056866,258.1807523,0.479346719,224.7679333,701.0303203,0.237215195,0.183939171,0.140701538,0.092342656,0.065357924,0.043530617,0.049258321,0.053581342,0.059684534,0.074182222,0.03,10222.83136,61.21072237,A
68,174.6495003,243.2915715,0.34382878,173.536701,493.2904562,0.262448348,0.182740784,0.121395233,0.078360115,0.064837647,0.051190103,0.050340326,0.052250555,0.062563897,0.073800259,0.04,6953.704784,59.56419294,A
69,158.8827791,236.8015113,0.388674021,261.9671704,632.7084427,0.281956666,0.201841504,,0.079313053,0.062521375,0.044695854,0.044014805,0.046426709,0.052375538,0.059459686,0.02,10105.23451,64.77660484,A
70,134.2759928,278.8552504,0.309384959,197.5977613,703.8170207,0.249157114,0.173084311,0.120512737,0.076628193,0.064424346,0.050377131,0.05334517,0.059565906,0.070069664,0.082890193,0.01,8648.34815,57.69751872,A
71,170.9080521,248.4908178,0.320851474,221.4628321,694.7780492,0.268939522,0.19358313,0.113586939,0.077890104,0.061345092,0.049349091,0.050400583,0.055038527,0.060475358,0.069756373,0.03,8168.212263,55.754566,A
72,158.8375284,271.7863182,0.315609539,141.6745571,693.8108362,0.150179796,0.149478483,0.124983766,0.08978152,0.074277564,0.060223983,0.064670013,0.073132136,0.091226932,0.121154748,0.03,6669.401722,66.06828911,A
73,152.4646595,254.2547381,0.484900645,224.8227823,689.6233133,0.237069491,0.184009235,0.140716643,0.092428672,0.065357829,0.043735477,0.049304631,0.053906943,0.059488016,0.073919787,0.04,10240.69826,60.9880339,A
74,176.7994204,242.5761901,0.347234322,168.7106924,489.2022112,0.262582727,0.182646086,0.121123193,0.078268754,0.065043018,0.051056778,0.050248029,0.051959283,0.062426704,0.07357184,0.03,6936.426437,59.76537353,A
75,159.6672439,234.3329547,0.389777434,267.2363452,632.314454,0.281897636,0.202064259,0.127691251,0.07923371,0.062513722,0.044651497,0.043753744,0.046423191,0.052217621,0.059571952,0.02,10145.03841,64.66057635,A
76,132.4454335,278.0579375,0.310986615,198.8682301,705.7122229,0.249006965,0.173188918,0.120601915,0.076649768,0.064308452,0.050535545,0.053287082,0.059737376,0.070272523,0.082705393,0.01,8673.719494,57.64173124,A
77,168.8493623,248.3520979,0.32526652,219.5244087,699.9067201,0.26899666,0.19356807,0.113859497,0.077892791,0.061125819,0.049334853,0.050316784,0.054654979,0.060364182,0.070215645,0.01,8172.876091,55.3485235,A
78,159.8705091,273.5736132,0.316251128,144.7276996,691.1683176,0.150224973,0.149430734,0.12510223,0.089805781,0.07417618,0.060543119,0.064907948,0.073208881,0.091304123,0.121333474,0.02,6647.814585,65.57851432,A
79,149.7746865,255.5798947,0.479355725,224.5076277,694.8247092,0.237159826,0.184182175,0.140645515,0.092321641,0.065597994,0.043430963,0.049249278,0.054026966,0.059555899,0.07417498,0.03,10251.61035,61.06251914,A
80,171.4985614,245.3147871,0.345589,172.4110461,493.4722212,0.262700705,0.182476134,0.121253032,0.078346932,0.064943537,0.0513839,0.050304546,0.051824126,0.0625201,0.073884776,0.03,6981.129078,60.10701482,A
81,154.5451961,237.1935779,0.388513977,263.8885079,636.120727,0.281859208,0.202059019,0.12758789,0.079168282,0.062589401,0.044699893,0.044024296,0.04646959,0.052057773,0.059482547,0.03,10076.34269,65.03880157,A
82,131.9747072,279.2129291,0.306407331,204.3413388,703.5368543,0.249101351,0.173172032,0.120794431,0.07663445,0.064318217,0.05061473,0.053331935,0.059695691,0.070010305,0.082656629,0.05,8726.567667,58.13941839,A
83,168.4797753,247.5563743,0.317775669,226.9736887,699.2871251,0.269074789,0.193587608,0.11360623,0.077759858,0.0611724,0.049535183,0.050189381,0.054903442,0.060419131,0.06986662,0.04,8197.66426,55.46658158,A
84,159.3188933,272.2589132,0.316053449,142.1747182,684.6737785,0.150373204,0.149357966,0.125197715,0.089533978,0.074131148,0.060612072,0.064751036,0.07335969,0.09152908,0.121131657,0.04,6629.747971,65.41159022,A
85,149.9026069,253.2522062,0.480663919,221.477902,692.5643223,0.23699403,0.184094859,0.140700059,0.092394634,0.065219893,0.043592624,0.049276981,0.054058256,0.059654731,0.074085356,,10268.07076,61.17381221,A
86,175.0905051,245.1012198,0.343648942,163.4100699,491.7418082,0.262672087,0.182646183,0.121217328,0.078491528,0.064966948,0.051286886,0.050451352,0.052031915,0.062721111,0.073860495,,6968.060963,59.81059181,A
87,159.951272,237.2592436,0.38952935,263.8430072,633.2829052,0.28175134,0.201682526,0.127780348,0.079294883,0.062670821,0.044687314,0.043886542,0.046456353,0.052206088,0.059369725,,10119.82864,64.92190637,A
88,136.4305331,277.0867106,0.31046375,205.6228475,701.2409405,0.249185067,0.173124098,0.120702846,0.076540526,0.06434748,0.050386148,0.053251751,0.059670586,0.070033996,0.08287597,,8668.993731,58.15761362,A
89,168.1168449,246.7266058,0.320511239,224.1839436,702.2708935,0.268757176,0.193630543,0.113603523,0.077648552,0.061127968,0.049256947,0.050232499,0.054819579,0.060615514,0.069989255,,8131.406341,55.36413017,A
90,158.1351654,272.7092253,0.313831918,138.0912337,694.2935315,0.150187522,0.149429312,0.125099848,0.089967985,0.074295885,0.060515797,0.064754063,0.073307536,0.091325021,0.121281206,,6686.645796,65.56670349,A
91,150.2524451,256.6722176,0.478837113,228.5571089,690.9066846,0.237359671,0.183783219,0.140455678,0.092367106,0.065371058,0.043668196,0.049334165,0.053867909,,0.074110549,,10251.65583,61.20213329,A
92,175.2627387,247.2103726,0.346362113,164.3168107,490.709334,0.262428168,0.182736202,0.121235106,0.078507028,,0.051359471,0.050473036,0.051936197,0.062509434,0.073822686,,6961.609649,59.77293988,A
93,159.2790016,237.5993175,0.395651626,263.6596247,633.2829052,0.281818479,0.202116239,0.127766848,0.079290286,0.062602752,0.044637687,0.043894661,0.046233966,0.05225625,0.059437068,,10141.12135,64.84428143,A
94,134.0016704,278.6991532,0.308480864,198.9273767,711.9145095,0.24907953,0.173376305,0.12053301,0.076914848,0.064304151,0.050532833,0.053060391,0.059366468,0.06996725,0.082659292,,8654.540159,57.73468245,A
95,167.6691511,247.6039488,0.321978541,221.2352032,696.657223,0.26898847,0.193734555,0.113664622,0.077880647,0.061037679,0.049706175,0.0504436,0.054659153,0.060627851,0.069660374,,8173.509471,55.80656919,A
96,156.5659214,270.2018878,0.31182736,140.8962597,692.4811824,0.150406776,0.149392204,0.125048418,0.089741231,,0.060283477,0.064529307,0.073376786,0.091258046,0.121305368,,6649.632791,65.63090372,A
97,154.5938714,258.3013845,0.48126705,226.6129436,696.2890387,0.237062725,0.184006872,0.140727141,0.09240035,0.065282418,0.043592098,0.049192134,0.054026062,0.059594789,0.07425621,,10248.8361,61.05715102,A
98,177.7308377,245.2747954,0.34765779,169.6765889,485.1794523,0.262759166,0.182729642,0.121331439,0.078259175,0.064920461,0.051290598,0.050525729,0.052228481,0.062605112,0.073653004,,7002.252495,59.34966019,A
99,158.9194597,238.7457509,0.390062526,265.5782419,629.9119494,0.281888044,0.201820593,0.127538082,0.079243287,0.062538644,0.044614196,0.044085443,0.046369474,0.052217991,0.059538272,,10088.29976,64.93573012,A
100,131.8442815,277.5201353,0.309183825,207.8066484,703.5761034,0.249039664,0.173273903,0.12068579,0.076592816,0.064417007,0.050656167,0.053507601,0.059710001,0.070077041,0.082865689,,8698.511431,57.85801406,A
101,170.752473,245.5711329,0.322919036,216.6753243,702.4135131,0.268803199,0.193528404,0.113843803,0.078005678,0.061265672,0.049062048,0.05052599,0.054656359,0.06052743,0.069869949,,8163.366334,55.3369701,A
102,157.0905675,270.2035538,0.312162816,143.7789132,691.5725593,0.150268156,0.149488072,0.125211851,0.089994321,0.074466991,0.060368491,0.064893004,0.073413779,0.091370727,0.121258983,,6653.835269,65.71133127,A
103,150.0779199,256.628343,0.486351686,227.7525449,695.141673,0.237141251,0.184000686,0.140675186,0.092458068,0.065284293,0.043572167,0.049193905,0.053887316,0.059687632,0.07416258,,10244.65978,61.24724527,A
104,174.0946031,243.7793806,0.345708067,167.3515739,489.9358982,0.262747938,0.182610553,0.121173629,0.078350548,0.064922942,0.051420663,0.050468527,0.051936359,0.062538599,0.073631341,,6968.512856,59.54022821,A
105,159.5187795,235.7249392,0.388354854,263.6904201,633.3301634,0.282022586,0.201870949,0.127525355,0.07922078,0.062483368,0.044651071,0.044015777,0.046293031,0.052371071,0.059670643,,10092.12741,64.93152571,A
106,131.9289002,279.3458139,0.310863986,202.6328707,705.94145,0.2491873,0.173180953,0.120593809,0.076657199,0.064456811,0.050377285,0.053229965,0.059593108,0.069925201,0.082808713,,8637.213207,,A
107,171.1012751,249.3835937,0.322643182,220.0167378,705.2586828,0.268680401,0.193644753,0.113660735,0.077741138,0.061274096,0.049164529,0.050298277,0.054737856,0.060476118,0.070101617,0.01,8137.816136,55.84535573,A
108,160.1852878,270.3611155,0.314634379,142.7332136,688.8702621,0.150267437,0.149487656,0.125026304,0.089782369,0.074151217,0.060698312,0.064595913,0.073387029,0.091287386,0.121382556,0.02,6648.980285,66.01890304,A
109,148.5204935,254.2073149,0.47978044,227.9081931,695.4799151,0.237219944,0.184026925,0.140603214,0.092419479,0.065327022,0.04349379,0.049312187,0.053765949,0.059597684,0.074187385,0.02,10204.67934,60.93521084,A
110,172.5019013,244.1159491,0.342988467,165.3423015,491.5733279,0.262509371,0.182697862,0.121269977,0.078345711,0.064945941,0.051247429,0.05047985,0.052175329,0.062467028,0.073750276,0.02,6987.047823,59.27578467,A
111,158.2387759,237.0795624,0.39171502,267.4377334,637.1117366,0.281882441,0.201883001,0.127730761,0.079198654,0.062617473,0.044622319,0.044077488,0.046391276,0.052234688,0.059459251,0.04,10106.56851,65.09046587,A
112,133.4852703,279.7083672,0.315072737,203.0557895,710.9544565,0.249072892,0.173161722,0.120674618,0.076655264,,0.050479023,0.053101114,0.059611116,0.070100975,0.082873164,0.02,8737.761593,57.83843394,A
113,167.8834899,246.4794797,0.316090565,220.1001875,697.8715071,0.268720739,0.193686853,0.113853183,,0.06123592,0.049255935,0.050452048,0.054641407,0.060364054,0.07007072,0.02,8174.162974,55.43337452,A
114,160.8188728,271.8063769,0.314991932,139.4376509,690.4185086,0.150328834,0.149366537,0.125083832,0.089717808,0.074241446,0.060417634,0.064731352,0.073282994,0.091404531,0.121230337,0.05,6707.877762,65.60899687,A
115,154.0577528,266.3292684,0.403529054,247,692,0.228749092,0.172909173,0.118503576,0.072322774,0.066735846,0.051632407,0.055051224,0.062726306,0.071119231,0.093590658,0.05,10364,62.98,B
116,165.9256069,236.3331883,0.351824353,227,617,0.268168297,0.17893009,0.12073337,0.079036064,0.069323359,0.050932986,0.051066528,0.053376488,0.059373001,0.067722896,0.02,10121,57.55,B
117,177.0685397,253.3932819,0.356852336,250,450,0.277332599,0.183597819,0.113068864,0.077398701,0.062504618,,0.04908749,0.052906796,0.063016467,0.075340577,0.05,,67.14,B
118,171.5770939,202.6342302,,194,433,0.291163142,0.186447873,0.114921513,0.074070494,0.061399547,0.047944415,0.048934817,0.054206271,0.056332159,0.064579769,0.01,8555,59.31,B
119,143.3845286,236.4488659,0.323219107,217,,0.286174043,0.190147388,0.111708955,0.072285739,0.059656144,0.046986049,0.049074123,0.054974438,0.06026485,0.068728272,0.04,9554,62.9,B
120,194.5696587,277.4186628,0.31216579,228,629,0.224785134,0.184926845,0.116751338,0.07819317,0.065493099,0.050619105,0.052447057,0.057837822,0.074827242,0.094119187,0.05,11355,62.11,B
121,159.6017392,282.7825927,0.370900798,226,704,0.176008767,0.162759495,0.133989648,0.090659158,0.074306173,0.056185748,0.057187652,0.064302998,0.079858316,0.104742044,0.05,9509,68.11,B
122,153.8596,266.5467,0.3766,247.585914,695.0841187,0.228822619,0.173009833,0.118396063,0.078927693,0.066508947,0.051750976,0.055031433,0.062869786,0.071211123,0.093453614,0.05,10329.4406,62.90065247,B
123,166.2918,236.1605,0.5133,225.7813007,619.3388602,0.268235445,0.178899156,0.120552104,0.080471819,0.0693105,0.051066221,0.050954484,0.053521062,0.059322607,0.067432108,0.05,10135.5976,57.63138037,B
124,176.8372,253.1719,0.4383,249.1317686,449.6263121,0.277359399,0.183464447,0.113047144,0.077426118,0.062376717,0.045768032,0.049089771,0.052905673,0.063016996,0.075283892,0.04,10526.74199,66.90781587,B
125,171.2237,202.9773,0.2938,196.417901,431.4483888,0.291440445,0.186492792,0.114865494,0.074211506,0.061458614,0.0479689,0.049062623,0.054171617,0.056399666,0.064557433,0.03,8534.954345,59.37204129,B
126,143.4459,236.1597,0.4398,220.7832055,430.6507867,0.286243402,0.19009561,0.111656496,0.072322774,0.059685435,0.047087184,0.049103774,0.055045498,0.060091828,0.068574363,,9541.600383,62.96655766,B
127,195.1442,277.9299,0.2192,229.5577855,626.0462174,0.22475561,0.184981071,0.116766945,0.077975078,0.065510097,0.050985756,0.052516533,0.057767199,0.074778705,0.094058542,,11284.75394,62.18195011,B
128,159.609,283.1232,0.3399,231.3682153,704.1728024,0.175966269,0.162658701,0.134013212,0.090507961,0.074325918,0.056149769,0.057179146,0.064259048,0.079924265,0.104657443,,9482.095817,68.22782367,B
129,154.0153,267.0226,0.404473622,244.699576,688.2259638,0.228683845,0.172903234,0.118608351,0.079127002,0.066724548,0.051661369,0.055067656,0.062691432,0.071080581,0.09370915,,10343.77962,,B
130,165.8608,235.4107,0.349940381,224.588223,618.5225266,0.268163325,0.179113258,0.12085635,0.080400811,0.0693815,0.050953074,0.051021123,0.053419843,0.059213128,0.067733703,,10106.9413,,B
